numMFCCs: 10,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.562 : 1.729,0.527 : 2.529,0.502 : 2.529,0.482 : 3.329,0.475 : 3.329,0.472 : 4.129,0.464 : 4.129,0.425 : 4.929
1024:,0.551 : 1.729,0.531 : 2.529,0.495 : 2.529,0.479 : 3.329,0.473 : 3.329,0.470 : 4.129,0.414 : 4.129,0.452 : 4.929
2048:,0.553 : 1.729,0.533 : 2.529,0.491 : 2.529,0.475 : 3.329,0.469 : 3.329,0.459 : 4.129,0.399 : 4.129,0.422 : 4.929
4096:,0.531 : 1.729,0.533 : 2.529,0.467 : 2.529,0.479 : 3.329,0.474 : 3.329,0.479 : 4.129,0.394 : 4.129,0.434 : 4.929
8192:,0.516 : 1.729,0.487 : 2.529,0.474 : 2.529,0.474 : 3.329,0.479 : 3.329,0.503 : 4.129,0.414 : 4.129,0.403 : 4.929


numMFCCs: 15,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.557 : 2.129,0.530 : 3.329,0.496 : 3.329,0.473 : 4.529,0.482 : 4.529,0.469 : 5.729,0.445 : 5.729,0.422 : 6.929
1024:,0.557 : 2.129,0.518 : 3.329,0.476 : 3.329,0.476 : 4.529,0.464 : 4.529,0.478 : 5.729,0.442 : 5.729,0.407 : 6.929
2048:,0.558 : 2.129,0.525 : 3.329,0.466 : 3.329,0.476 : 4.529,0.458 : 4.529,0.477 : 5.729,0.418 : 5.729,0.409 : 6.929
4096:,0.534 : 2.129,0.517 : 3.329,0.467 : 3.329,0.467 : 4.529,0.477 : 4.529,0.443 : 5.729,0.422 : 5.729,0.391 : 6.929
8192:,0.501 : 2.129,0.500 : 3.329,0.450 : 3.329,0.465 : 4.529,0.467 : 4.529,0.477 : 5.729,0.393 : 5.729,0.396 : 6.929


numMFCCs: 20,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.557 : 2.529,0.508 : 4.129,0.485 : 4.129,0.471 : 5.729,0.472 : 5.729,0.465 : 7.329,0.430 : 7.329,0.421 : 8.929
1024:,0.572 : 2.529,0.500 : 4.129,0.475 : 4.129,0.465 : 5.729,0.452 : 5.729,0.465 : 7.329,0.426 : 7.329,0.443 : 8.929
2048:,0.559 : 2.529,0.510 : 4.129,0.465 : 4.129,0.464 : 5.729,0.471 : 5.729,0.466 : 7.329,0.442 : 7.329,0.441 : 8.929
4096:,0.522 : 2.529,0.499 : 4.129,0.451 : 4.129,0.460 : 5.729,0.460 : 5.729,0.468 : 7.329,0.436 : 7.329,0.406 : 8.929
8192:,0.503 : 2.529,0.483 : 4.129,0.440 : 4.129,0.452 : 5.729,0.464 : 5.729,0.469 : 7.329,0.403 : 7.329,0.397 : 8.929


numMFCCs: 25,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.547 : 2.929,0.507 : 4.929,0.460 : 4.929,0.463 : 6.929,0.456 : 6.929,0.457 : 8.929,0.416 : 8.929,0.415 : 10.929
1024:,0.556 : 2.929,0.485 : 4.929,0.456 : 4.929,0.457 : 6.929,0.441 : 6.929,0.454 : 8.929,0.419 : 8.929,0.426 : 10.929
2048:,0.552 : 2.929,0.482 : 4.929,0.442 : 4.929,0.461 : 6.929,0.456 : 6.929,0.448 : 8.929,0.433 : 8.929,0.433 : 10.929
4096:,0.517 : 2.929,0.477 : 4.929,0.446 : 4.929,0.454 : 6.929,0.446 : 6.929,0.461 : 8.929,0.424 : 8.929,0.419 : 10.929
8192:,0.495 : 2.929,0.466 : 4.929,0.444 : 4.929,0.444 : 6.929,0.452 : 6.929,0.457 : 8.929,0.422 : 8.929,0.395 : 10.929


numMFCCs: 30,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.534 : 3.329,0.501 : 5.729,0.446 : 5.729,0.453 : 8.129,0.451 : 8.129,0.450 : 10.529,0.402 : 10.529,0.406 : 12.929
1024:,0.543 : 3.329,0.475 : 5.729,0.444 : 5.729,0.447 : 8.129,0.441 : 8.129,0.437 : 10.529,0.403 : 10.529,0.383 : 12.929
2048:,0.536 : 3.329,0.482 : 5.729,0.441 : 5.729,0.446 : 8.129,0.440 : 8.129,0.440 : 10.529,0.416 : 10.529,0.386 : 12.929
4096:,0.534 : 3.329,0.480 : 5.729,0.448 : 5.729,0.436 : 8.129,0.437 : 8.129,0.431 : 10.529,0.405 : 10.529,0.392 : 12.929
8192:,0.486 : 3.329,0.460 : 5.729,0.439 : 5.729,0.435 : 8.129,0.444 : 8.129,0.444 : 10.529,0.408 : 10.529,0.388 : 12.929


