FileLength,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
0.25:,('0.466' : '2.929'),('0.456' : '1.889'),('0.438' : '1.569'),('0.446' : '1.403'),('0.436' : '1.323'),('0.423' : '1.243'),('0.420' : '1.243'),('0.411' : '1.163'),('0.415' : '1.163'),('0.401' : '1.083')
0.5:,('0.527' : '4.929'),('0.502' : '2.929'),('0.510' : '2.289'),('0.496' : '1.889'),('0.478' : '1.729'),('0.482' : '1.569'),('0.468' : '1.489'),('0.467' : '1.403'),('0.442' : '1.403'),('0.461' : '1.323')
0.75:,('0.596' : '6.929'),('0.574' : '3.969'),('0.551' : '2.929'),('0.539' : '2.449'),('0.515' : '2.129'),('0.490' : '1.889'),('0.485' : '1.809'),('0.494' : '1.649'),('0.512' : '1.569'),('0.481' : '1.569')
01:00,('0.596' : '8.929'),('0.559' : '4.929'),('0.558' : '3.569'),('0.520' : '2.929'),('0.529' : '2.529'),('0.501' : '2.289'),('0.498' : '2.049'),('0.479' : '1.889'),('0.460' : '1.809'),('0.481' : '1.729')
1.25:,('0.580' : '10.929'),('0.546' : '5.889'),('0.518' : '4.289'),('0.500' : '3.409'),('0.495' : '2.929'),('0.470' : '2.609'),('0.478' : '2.369'),('0.453' : '2.209'),('0.461' : '2.049'),('0.470' : '1.889')
1.5:,('0.573' : '12.929'),('0.544' : '6.929'),('0.542' : '4.929'),('0.520' : '3.969'),('0.534' : '3.329'),('0.485' : '2.929'),('0.497' : '2.609'),('0.496' : '2.449'),('0.465' : '2.289'),('0.457' : '2.129')
1.75:,('0.585' : '14.929'),('0.550' : '7.969'),('0.533' : '5.569'),('0.521' : '4.449'),('0.514' : '3.729'),('0.497' : '3.249'),('0.484' : '2.929'),('0.473' : '2.689'),('0.474' : '2.449'),('0.464' : '2.369')
02:00,('0.575' : '16.929'),('0.546' : '8.929'),('0.543' : '6.289'),('0.523' : '4.929'),('0.508' : '4.129'),('0.490' : '3.569'),('0.513' : '3.249'),('0.495' : '2.929'),('0.474' : '2.689'),('0.478' : '2.529')
2.25:,('0.588' : '18.929'),('0.542' : '9.889'),('0.522' : '6.929'),('0.497' : '5.409'),('0.510' : '4.529'),('0.503' : '3.969'),('0.471' : '3.489'),('0.474' : '3.169'),('0.468' : '2.929'),('0.477' : '2.689')
2.5:,('0.596' : '20.929'),('0.563' : '10.929'),('0.542' : '7.569'),('0.535' : '5.889'),('0.519' : '4.929'),('0.513' : '4.289'),('0.470' : '3.809'),('0.477' : '3.409'),('0.474' : '3.169'),('0.449' : '2.929')
2.75:,('0.588' : '22.932'),('0.545' : '11.969'),('0.541' : '8.289'),('0.530' : '6.449'),('0.526' : '5.329'),('0.498' : '4.609'),('0.472' : '4.049'),('0.479' : '3.649'),('0.473' : '3.409'),('0.461' : '3.169')
03:00,('0.587' : '24.932'),('0.563' : '12.929'),('0.546' : '8.929'),('0.531' : '6.929'),('0.523' : '5.729'),('0.506' : '4.929'),('0.485' : '4.369'),('0.495' : '3.969'),('0.480' : '3.569'),('0.487' : '3.329')
3.25:,('0.608' : '26.932'),('0.577' : '13.889'),('0.560' : '9.569'),('0.552' : '7.409'),('0.538' : '6.129'),('0.506' : '5.249'),('0.505' : '4.609'),('0.490' : '4.209'),('0.489' : '3.809'),('0.494' : '3.489')
3.5:,('0.606' : '28.932'),('0.575' : '14.929'),('0.575' : '10.289'),('0.553' : '7.969'),('0.507' : '6.529'),('0.498' : '5.569'),('0.496' : '4.929'),('0.496' : '4.449'),('0.496' : '4.049'),('0.479' : '3.729')
3.75:,('0.598' : '30.932'),('0.550' : '15.969'),('0.557' : '10.929'),('0.548' : '8.449'),('0.524' : '6.929'),('0.511' : '5.969'),('0.516' : '5.249'),('0.512' : '4.689'),('0.495' : '4.289'),('0.484' : '3.969')
04:00,('0.572' : '32.932'),('0.553' : '16.929'),('0.538' : '11.569'),('0.524' : '8.929'),('0.521' : '7.329'),('0.510' : '6.289'),('0.489' : '5.489'),('0.478' : '4.929'),('0.491' : '4.449'),('0.479' : '4.129')
